,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,0,0.2841727883781329,3.1695942335951584,2.07720442289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884814914612413
1,1,0.28417278795888634,3.1695942435951583,2.07720442289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884814914612413
2,2,0.28417278869069973,3.1695942335951584,2.07720443289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884814914612413
3,3,0.2841727882478612,3.1695942335951584,2.07720442289032,3.1828569401589117,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884814914612413
4,4,0.2841727907479289,3.1695942335951584,2.07720442289032,3.182856930158912,5.465698214826118,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884814914612413
5,5,0.2841727863150279,3.1695942335951584,2.07720442289032,3.182856930158912,5.4656982048261185,3.905313243309829,4.38676611073814,2.7997662323737154,3.0884814914612413
6,6,0.2841727878704416,3.1695942335951584,2.07720442289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676612073814,2.7997662323737154,3.0884814914612413
7,7,0.28417278930906414,3.1695942335951584,2.07720442289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662423737153,3.0884814914612413
8,8,0.2841727885137447,3.1695942335951584,2.07720442289032,3.182856930158912,5.4656982048261185,3.9053132333098293,4.38676611073814,2.7997662323737154,3.0884815014612412
9,9,0.18250877608940175,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203115044743
10,10,0.18250877575827584,3.2115189017846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203115044743
11,11,0.18250877629009477,3.2115188917846877,2.0459477523131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203115044743
12,12,0.18250877597183998,3.2115188917846877,2.0459477423131904,3.1958841139430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203115044743
13,13,0.18250877797045648,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186177691884,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203115044743
14,14,0.18250877451690894,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623745325413,4.437535244079928,2.7066731102737855,3.0749203115044743
15,15,0.18250877573504215,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535254079928,2.7066731102737855,3.0749203115044743
16,16,0.1825087768497714,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731202737855,3.0749203115044743
17,17,0.18250877618428651,3.2115188917846877,2.0459477423131904,3.1958841039430643,5.2287186077691885,4.111623735325413,4.437535244079928,2.7066731102737855,3.0749203215044743
18,18,0.05934253520639823,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214886277144
19,19,0.059342535248828834,3.371155426715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214886277144
20,20,0.05934253534698157,3.371155416715892,2.0211173400178115,3.275413541195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214886277144
21,21,0.05934253517151816,3.371155416715892,2.0211173300178116,3.275413551195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214886277144
22,22,0.05934253480386269,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275861804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214886277144
23,23,0.05934253559638969,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985906680959,4.535755392917743,2.300986910412092,3.048214886277144
24,24,0.059342534812756136,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985896680959,4.535755402917743,2.300986910412092,3.048214886277144
25,25,0.059342535532307616,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986920412092,3.048214886277144
26,26,0.059342535216155914,3.371155416715892,2.0211173300178116,3.275413541195002,4.307275851804177,4.780985896680959,4.535755392917743,2.300986910412092,3.048214896277144
27,27,0.04529098632852995,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
28,28,0.045290986361593025,3.359253002906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
29,29,0.045290986347183176,3.359252992906149,1.9661591213743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
30,30,0.045290986299246605,3.359252992906149,1.9661591113743395,3.286360436398766,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
31,31,0.04529098622433084,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091688250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
32,32,0.045290986449760186,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396419103463,4.6779275364824136,2.1875411807848177,3.0426794880625794
33,33,0.04529098606736921,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275464824135,2.1875411807848177,3.0426794880625794
34,34,0.04529098653696714,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411907848177,3.0426794880625794
35,35,0.045290986343001535,3.359252992906149,1.9661591113743395,3.2863604263987662,4.43091687250785,4.667396409103463,4.6779275364824136,2.1875411807848177,3.0426794980625793
36,36,0.037531600401671444,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562369965125
37,37,0.03753160042339345,3.3345096913950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562369965125
38,38,0.037531600318284265,3.3345096813950827,1.9546128892643655,3.313515722526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562369965125
39,39,0.03753160037869577,3.3345096813950827,1.9546128792643656,3.313515732526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562369965125
40,40,0.0375316004466335,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333051631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562369965125
41,41,0.037531600407483455,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894311311947,4.9054256679178625,2.0003247826025103,3.028562369965125
42,42,0.037531600232088035,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894301311947,4.905425677917862,2.0003247826025103,3.028562369965125
43,43,0.03753160042094865,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247926025103,3.028562369965125
44,44,0.03753160043346673,3.3345096813950827,1.9546128792643656,3.313515722526474,4.483333041631955,4.593894301311947,4.9054256679178625,2.0003247826025103,3.028562379965125
45,45,0.03275163064416137,3.29950159328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.985022109839347
46,46,0.03275163064697269,3.29950160328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.985022109839347
