,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23
0,0,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
1,1,0.11979684898360402,3.6658504335123654,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
2,2,0.11979684921728653,3.6658504235123655,3.8422400984192375,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
3,3,0.11979685207448516,3.6658504235123655,3.8422400884192376,3.9399199324382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
4,4,0.11979684964020026,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175666882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
5,5,0.11979684949088966,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042799768365,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
6,6,0.11979685075085181,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654735065799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
7,7,0.11979684913393147,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575531602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
8,8,0.11979684848715305,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394486343205965,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
9,9,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616277210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
