,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55
0,0,0.1570582106480134,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
1,1,0.1570582120368887,2.141187994858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
2,2,0.15705821031274383,2.141187984858568,5.1672078671644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
3,3,0.1570582137128104,2.141187984858568,5.1672078571644615,0.4210402509988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
4,4,0.1570582070598196,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358513873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
5,5,0.1570582077328478,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532817219701347,4.216410144483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
6,6,0.15705820809944057,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410154483983,4.914013884679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
7,7,0.1570582071357148,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013894679646,4.901277049876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
8,8,0.1570582063909608,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277059876318,0.747024228389874,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
9,9,0.1570582106480134,2.141187984858568,5.1672078571644615,0.4210402409988178,5.263358503873808,0.07532816219701348,4.216410144483983,4.914013884679646,4.901277049876318,0.7470242383898741,3.067061763288247,5.871431397266638,3.716233477211436,5.104935882150909,3.332011775328035,4.198695765813859,3.1706625770581938,6.094874417964913,5.550810851556743,1.7977438690149068,1.5106835303255095,5.241876959464181,4.157009830099332,5.538487329315033,4.726102571778941,3.166449594381285,4.030693203278125,3.7263972892253587,4.521358080404038,3.982858709769875,3.805841941363643,3.4968434112097135,1.876200236765721,3.239370641103573,3.507876827732346,3.973766098337385,2.0277992040688293,5.949868200254242,5.316617731570503,2.276157549608244,0.9783491963657964,2.5451159722916796,1.906189534715594,3.4657312276468817,6.004462955574737,6.147517476342545,4.297748628052593,0.8614797408378209,3.459653370264618,5.81258749233269,4.077494707537432,0.3006166495735887,5.680682162053479,1.6348570214704796,3.4299124485036026,2.321681323707478,6.062060623095959
