,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
0,0,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
1,1,0.15861593549182376,5.658675934126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
2,2,0.1586159370828675,5.658675924126768,0.2665613985990635,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
3,3,0.1586159373204749,5.658675924126768,0.26656138859906353,2.4195782394985694,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
4,4,0.1586159368943576,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260686014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
5,5,0.15861593895885853,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871922996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
6,6,0.15861593948740357,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975048939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
7,7,0.15861593719117711,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848665764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
8,8,0.15861593966833293,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996234709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
9,9,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579604163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
10,10,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953917087626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
11,11,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111205565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
12,12,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943499719244,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
13,13,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007580400129,1.3445928478996947,1.2408981202619809,3.721534622677263
14,14,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928578996946,1.2408981202619809,3.721534622677263
15,15,0.15861593817936062,5.658675924126768,0.26656138859906353,2.4195782294985695,4.856260676014166,0.6105871822996001,5.370975038939574,5.112848655764745,5.154996224709321,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981302619808,3.721534622677263
