,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63
0,0,0.165148518736419,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
1,1,0.16514851922515034,3.6917992715233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
2,2,0.16514852092545537,3.6917992615233834,1.5016920333896528,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
3,3,0.16514851990281076,3.6917992615233834,1.501692023389653,1.9687051968385691,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
4,4,0.16514851760517368,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402983686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
5,5,0.16514852337918234,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332848670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
6,6,0.16514852219728982,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046249935066,0.8957515773581411,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
7,7,0.16514851832881677,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515873581412,3.8370787223889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
8,8,0.16514852271075658,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787323889566,4.509267982858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
9,9,0.165148518736419,3.6917992615233834,1.501692023389653,1.9687051868385692,1.0406402883686336,1.0633332748670667,2.048046239935066,0.8957515773581411,3.8370787223889566,4.509267992858794,5.204277228383654,0.1806132050556002,0.8510059935548735,3.918369226983113,2.4703689043525072,2.386285568023485,5.58350955649347,5.02245962114567,4.2325033129730825,4.321548057816916,0.8955194333192311,3.7613024916051137,0.43033672643247317,2.2060638532437893,2.0026592809976074,1.7544234579082005,2.2983180790374833,1.8996952360151182,5.44647544212374,5.821711069148711,4.235251392148274,3.7177235517878837,0.713009773822239,5.281352637610946,4.859454592114542,2.9631735443777103,4.797112019993058,3.26343080226788,4.931514550787935,5.338183447074682,3.244342918239857,0.7062376096876747,1.0609132610905125,5.6463405023151685,4.383748611292334,4.060061141993822,0.09541181451456655,0.27991949089662677,3.2961276443563197,2.1932389962558614,1.7865079848133947,1.3744798393001232,5.840376436880652,4.593855786233198,0.5114190468676196,4.503933367272966,1.4868907970442549,4.844010406820049,2.8445766891500526,0.680905384341912,3.817341933097576,2.0076131678367917,0.9316972938266082,4.493006503134399,4.378007488223911
