,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
0,0,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
1,1,0.22066557327617478,3.599089627727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
2,2,0.22066557436268616,3.599089617727553,5.172323828084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
3,3,0.220665573305829,3.599089617727553,5.172323818084218,3.086259659957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
4,4,0.22066557336585768,3.599089617727553,5.172323818084218,3.086259649957837,3.839292203257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
5,5,0.22066557512726215,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911555550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
6,6,0.2206655739099377,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.5821856886248415,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
7,7,0.2206655682636141,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514053908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
8,8,0.22066557131768147,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098238970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
9,9,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447994080797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
10,10,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645826067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
11,11,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716449216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
12,12,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758248252907,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
13,13,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.5766234027801875,1.7277750325839762,3.157425451107063,2.1870685108068004
14,14,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750425839762,3.157425451107063,2.1870685108068004
15,15,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425461107063,2.1870685108068004
16,16,0.22066557334045994,3.599089617727553,5.172323818084218,3.086259649957837,3.839292193257587,5.893911545550149,4.582185678624842,5.206514043908653,3.604098228970253,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685208068004
17,17,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
18,18,0.0895367842633003,3.605518143780367,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
19,19,0.08953678410258789,3.6055181337803672,5.070101206050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
20,20,0.08953678426975961,3.6055181337803672,5.070101196050475,3.089722753658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
21,21,0.08953678395189987,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752429310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
22,22,0.08953678561895992,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231334930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
23,23,0.08953678445551916,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237911575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
24,24,0.08953678568067633,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.714198637170544,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
25,25,0.08953678399417742,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.8063760862201628,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
26,26,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447994080797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
27,27,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645826067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
28,28,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716449216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
29,29,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758248252907,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
30,30,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.5766234027801875,1.7277750325839762,3.157425451107063,2.1870685108068004
31,31,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750425839762,3.157425451107063,2.1870685108068004
32,32,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425461107063,2.1870685108068004
33,33,0.0895367842542063,3.6055181337803672,5.070101196050475,3.089722743658532,3.836752419310879,5.715231324930751,4.525237901575276,5.7141986271705445,3.806376076220163,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685208068004
34,34,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
35,35,0.06788175489145401,3.6051590940539318,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
36,36,0.06788175458401303,3.605159084053932,5.0763219868102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
37,37,0.06788175485595127,3.605159084053932,5.0763219768102905,3.0887521860845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
38,38,0.06788175463261316,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830191689967,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
39,39,0.06788175571480493,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226048527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
40,40,0.06788175495761574,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858231080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
41,41,0.06788175538382574,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179688627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
42,42,0.06788175452776891,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349176070779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
43,43,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447994080797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
44,44,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645826067769,2.459716439216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
45,45,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716449216712,3.3374758148252908,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
46,46,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758248252907,5.576623392780188,1.7277750325839762,3.157425451107063,2.1870685108068004
47,47,0.06788175485163947,3.605159084053932,5.0763219768102905,3.0887521760845584,3.8586830091689968,5.607226038527629,4.507858221080449,5.634179678627768,3.8349175970779745,3.0447993980797716,0.5482645726067769,2.459716439216712,3.3374758148252908,5.5766234027801875,1.7277750325839762,3.157425451107063,2.1870685108068004
