,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23
0,0,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
1,1,0.4286294273968986,3.1016174611335514,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
2,2,0.4286294273832162,3.1016174511335515,1.512615274169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
3,3,0.4286294269285322,3.1016174511335515,1.512615264169602,1.309415996119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
4,4,0.42862942750057365,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102734544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
5,5,0.42862943029110895,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094985023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
6,6,0.4286294265767388,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844994384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
7,7,0.42862942901205686,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762225175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
8,8,0.4286294303733645,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001439384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
9,9,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349499253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
