,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31
0,0,0.20887848744370727,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
1,1,0.20887848683966334,5.279204371202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
2,2,0.20887848721637745,5.279204361202134,0.08970714447699815,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
3,3,0.20887848737408318,5.279204361202134,0.08970713447699816,1.5227116141231882,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
4,4,0.2088784876351939,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130522826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
5,5,0.20887849082598495,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182907092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
6,6,0.20887848630041844,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082135495962,3.4367874214492864,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
7,7,0.2088784877465889,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874314492863,4.162068055270939,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
8,8,0.20887848567229328,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.1620680652709385,6.238688998089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
9,9,0.20887848744370727,5.279204361202134,0.08970713447699816,1.5227116041231883,4.671130512826256,2.287182897092856,4.642082125495962,3.4367874214492864,4.162068055270939,6.238689008089397,5.697196558130559,5.521958452866624,2.0207568759413395,5.74460899742879,2.5057484687733074,3.546766754389152,4.157515942949509,2.0958587247789513,6.1827269335054975,0.12798033761451155,4.720327142167146,1.6422524655553565,3.442144339913285,0.6229421092083733,2.6271514795142377,5.638827162285529,0.026420344088260068,3.476335581831678,2.3835399968351805,1.456492714380464,1.0504525287724091,2.2518403931061086,0.1695793238538645
